policy,run_seed,scenario_seed,final_joint,q_graph,q_rule,rule_precision,rule_recall,rule_coverage,auc,convergence_step,steps,calls,edits,total_reward,initial_defects,final_defects,action_distribution
DQN,5,900005,0.9822192133706192,0.9987620711326599,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9533807600601555,16,18,4,250,0.4051111177740426,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 0, ""duplicate"": 3, ""invalid_relation"": 0, ""isolated"": 3}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 4, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Double DQN,5,900005,0.9818062213019199,0.9981838822364808,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9532186238365742,16,18,4,248,0.40457292887786345,"{""dangling"": 33, ""duplicate"": 96, ""invalid_relation"": 61, ""isolated"": 56}","{""dangling"": 0, ""duplicate"": 0, ""invalid_relation"": 0, ""isolated"": 8}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 2, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Random,6,900006,0.9660097685412234,0.9760688483715058,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9072612099249812,19,18,8,142,0.36702133163550815,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 6, ""duplicate"": 4, ""invalid_relation"": 74, ""isolated"": 6}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 4, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 2, ""relation_repair"": 1}"
Enhancement Only,6,900006,0.6789659602301462,0.9505523443222046,0.0,0.0,0.0,0.0,0.6789659602301462,19,18,0,0,0.0,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,6,900006,0.9377571690213551,0.9505523443222046,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9229310521918573,19,18,18,24,0.2898276923076923,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,6,900006,0.9636487052922951,0.9927432239055634,0.890912408759124,0.7883211678832117,0.9,1.0,0.9260591027133859,19,18,12,204,0.34647584308700835,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 6, ""duplicate"": 12, ""invalid_relation"": 11, ""isolated"": 2}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,6,900006,0.9748690810726911,0.9958898842334748,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9366613038452896,19,18,8,221,0.3778443691795629,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 6, ""duplicate"": 5, ""invalid_relation"": 4, ""isolated"": 2}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,6,900006,0.9335123627327531,0.9505523443222046,0.890912408759124,0.7883211678832117,0.9,1.0,0.820843115911646,19,18,12,13,0.3081049635036496,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,6,900006,0.9826426149647811,0.9993548333644866,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9584287787777321,13,18,4,231,0.4045273166284889,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 0, ""duplicate"": 2, ""invalid_relation"": 1, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
DQN,6,900006,0.9825772669867342,0.999263346195221,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9573120719210725,17,18,4,231,0.4044358294592232,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 0, ""duplicate"": 4, ""invalid_relation"": 0, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 3, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Double DQN,6,900006,0.9797644429077655,0.9953253924846649,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9507753356645261,19,18,4,215,0.40081787574866695,"{""dangling"": 44, ""duplicate"": 64, ""invalid_relation"": 74, ""isolated"": 42}","{""dangling"": 6, ""duplicate"": 0, ""invalid_relation"": 11, ""isolated"": 0}","{""dangling_edge_cleanup"": 2, ""exact_deduplication"": 8, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 2}"
Random,7,900007,0.9527582345690047,0.9697365283966064,0.9103125000000001,0.84375,0.9,1.0,0.8584253137273848,19,18,8,144,0.3553708244514465,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 9, ""duplicate"": 33, ""invalid_relation"": 77, ""isolated"": 7}","{""augmentation_rule_generation"": 1, ""dangling_edge_cleanup"": 5, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 2, ""relation_repair"": 2}"
Enhancement Only,7,900007,0.6740076456751143,0.9436107039451599,0.0,0.0,0.0,0.0,0.6740076456751143,19,18,0,0,0.0,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,7,900007,0.932798854466323,0.9436107039451599,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9179727376368256,19,18,18,24,0.2898276923076922,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,7,900007,0.9623812934131643,0.9909688472747802,0.890912408759124,0.7883211678832117,0.9,1.0,0.9231131468115207,19,18,12,237,0.3509831068332699,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 9, ""duplicate"": 16, ""invalid_relation"": 12, ""isolated"": 2}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,7,900007,0.9740305203552447,0.9947158992290497,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9331956144813556,19,18,8,257,0.38289202455218263,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 9, ""duplicate"": 7, ""invalid_relation"": 4, ""isolated"": 2}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,7,900007,0.9285540481777211,0.9436107039451599,0.890912408759124,0.7883211678832117,0.9,1.0,0.815884801356614,19,18,12,13,0.30810496350364946,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,7,900007,0.982445114974318,0.9990783333778381,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9563160047471754,14,18,4,270,0.4104124570188851,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 1, ""duplicate"": 2, ""invalid_relation"": 1, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
DQN,7,900007,0.9800195848472014,0.9956825911998749,0.9408620689655172,0.9310344827586207,0.9,1.0,0.950512372744201,18,18,4,255,0.40731671484092197,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 1, ""duplicate"": 0, ""invalid_relation"": 0, ""isolated"": 18}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 6, ""isolation_cleanup"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Double DQN,7,900007,0.9812786265312159,0.9974452495574953,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9497412791627968,18,18,4,260,0.4089793731985422,"{""dangling"": 58, ""duplicate"": 84, ""invalid_relation"": 77, ""isolated"": 45}","{""dangling"": 0, ""duplicate"": 14, ""invalid_relation"": 0, ""isolated"": 0}","{""dangling_edge_cleanup"": 5, ""exact_deduplication"": 2, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 5}"
Random,8,900008,0.9601814347887275,0.9679091811180115,0.9408620689655172,0.9310344827586207,0.9,1.0,0.8670543409487768,19,18,8,133,0.3620669994554848,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 56, ""duplicate"": 7, ""invalid_relation"": 16, ""isolated"": 56}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 3, ""exact_deduplication"": 3, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 3, ""relation_repair"": 3}"
Enhancement Only,8,900008,0.6768050066062383,0.9475270092487336,0.0,0.0,0.0,0.0,0.6768050066062384,19,18,0,0,0.0,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,8,900008,0.9355962153974472,0.9475270092487336,0.9057692307692309,0.8307692307692308,0.9,1.0,0.9207700985679497,19,18,18,24,0.2898276923076923,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,8,900008,0.9633235704699945,0.9922880351543426,0.890912408759124,0.7883211678832117,0.9,1.0,0.9253535657262856,19,18,12,233,0.34846598940925866,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 8, ""duplicate"": 18, ""invalid_relation"": 6, ""isolated"": 3}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,8,900008,0.9741959232444964,0.9949474632740021,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9354685036176777,19,18,8,250,0.37934728329356127,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 8, ""duplicate"": 9, ""invalid_relation"": 2, ""isolated"": 3}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,8,900008,0.9313514091088452,0.9475270092487336,0.890912408759124,0.7883211678832117,0.9,1.0,0.8186821622877382,19,18,12,13,0.3081049635036496,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,8,900008,0.9822847486775498,0.9988538205623626,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9571460334854697,14,18,4,262,0.406431638899836,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 1, ""duplicate"": 1, ""invalid_relation"": 0, ""isolated"": 3}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
DQN,8,900008,0.9798148386349232,0.9953959465026856,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9500579727138074,19,18,4,247,0.40327376484015887,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 0, ""duplicate"": 1, ""invalid_relation"": 16, ""isolated"": 0}","{""dangling_edge_cleanup"": 5, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""mixed_rule_generation"": 2, ""relation_repair"": 1}"
Double DQN,8,900008,0.9786698036064655,0.9937928974628448,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9528700982121477,19,18,4,244,0.40173071580031805,"{""dangling"": 56, ""duplicate"": 105, ""invalid_relation"": 42, ""isolated"": 56}","{""dangling"": 22, ""duplicate"": 0, ""invalid_relation"": 0, ""isolated"": 1}","{""dangling_edge_cleanup"": 1, ""exact_deduplication"": 7, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
Random,9,900009,0.9715053891665829,0.9837627172470093,0.9408620689655172,0.9310344827586207,0.9,1.0,0.8841816318778284,19,18,6,143,0.3743811453066198,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 43, ""duplicate"": 2, ""invalid_relation"": 15, ""isolated"": 2}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 1, ""exact_deduplication"": 4, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 5, ""mixed_rule_generation"": 2, ""relation_repair"": 1}"
Enhancement Only,9,900009,0.6849045710904259,0.9588663995265961,0.0,0.0,0.0,0.0,0.6849045710904259,19,18,0,0,0.0,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 5, ""relation_repair"": 4}"
Rule Only,9,900009,0.9436957798816347,0.9588663995265961,0.9057692307692309,0.8307692307692308,0.9,1.0,0.928869663052137,19,18,18,24,0.2898276923076922,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""augmentation_rule_generation"": 5, ""deletion_rule_generation"": 5, ""low_precision_rule_pruning"": 4, ""mixed_rule_generation"": 4}"
Alternating,9,900009,0.9644869211542967,0.9939167261123657,0.890912408759124,0.7883211678832117,0.9,1.0,0.9291661426512832,19,18,12,179,0.33983529008941904,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 6, ""duplicate"": 13, ""invalid_relation"": 6, ""isolated"": 2}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Rule First Then Fix,9,900009,0.9752584526721609,0.9964350044727325,0.9223170731707317,0.8780487804878049,0.9,1.0,0.9405345038976036,19,18,8,193,0.370635434214429,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 6, ""duplicate"": 5, ""invalid_relation"": 2, ""isolated"": 2}","{""augmentation_rule_generation"": 2, ""dangling_edge_cleanup"": 2, ""deletion_rule_generation"": 2, ""exact_deduplication"": 3, ""isolation_cleanup"": 3, ""low_precision_rule_pruning"": 1, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
Fix First Then Rule,9,900009,0.9394509735930326,0.9588663995265961,0.890912408759124,0.7883211678832117,0.9,1.0,0.8267817267719256,19,18,12,13,0.30810496350364946,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""augmentation_rule_generation"": 3, ""dangling_edge_cleanup"": 1, ""deletion_rule_generation"": 3, ""exact_deduplication"": 2, ""isolation_cleanup"": 2, ""low_precision_rule_pruning"": 2, ""mixed_rule_generation"": 3, ""relation_repair"": 2}"
Myopic Greedy,9,900009,0.982445114974318,0.9990783333778381,0.9408620689655172,0.9310344827586207,0.9,1.0,0.958975741391906,12,17,4,199,0.39657676143744885,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 0, ""duplicate"": 2, ""invalid_relation"": 2, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 4, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 3}"
DQN,9,900009,0.9824463326120613,0.9990800380706788,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9539578918143309,16,17,4,199,0.3965784661302895,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 0, ""duplicate"": 5, ""invalid_relation"": 0, ""isolated"": 0}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 3, ""isolation_cleanup"": 4, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
Double DQN,9,900009,0.9827769170018842,0.9995428562164308,0.9408620689655172,0.9310344827586207,0.9,1.0,0.9566288495411231,16,18,4,202,0.3969812842760415,"{""dangling"": 43, ""duplicate"": 82, ""invalid_relation"": 38, ""isolated"": 34}","{""dangling"": 0, ""duplicate"": 0, ""invalid_relation"": 0, ""isolated"": 2}","{""dangling_edge_cleanup"": 4, ""exact_deduplication"": 5, ""isolation_cleanup"": 3, ""mixed_rule_generation"": 2, ""relation_repair"": 4}"
